GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,white,black,native,asian,hawaiian,other,multi,white_his,black_his,native_his,asian_his,hawaiian_his,other_his,multi_his
G3601190005100,2000,NY,1,2,New York,36,Westchester,119,,,,,0,005100,005100,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1008398,0,Census Tract 51,S,40954265,-73813847,,,,3367,35,5,285,0,9,94,114,1,4,0,0,77,5
G3601190005200,2000,NY,1,2,New York,36,Westchester,119,,,,,0,005200,005200,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,3278972,77193,Census Tract 52,S,40941295,-73809984,,,,4225,41,0,176,0,1,22,117,4,0,0,0,35,4
G3601190005300,2000,NY,1,2,New York,36,Westchester,119,,,,,0,005300,005300,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1183378,5917,Census Tract 53,S,40916980,-73807309,,,,3335,370,3,262,0,19,111,233,18,1,2,0,111,24
G3601190005400,2000,NY,1,2,New York,36,Westchester,119,,,,,0,005400,005400,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,936569,0,Census Tract 54,S,40905111,-73808336,,,,1685,37,0,53,0,13,31,53,1,2,0,0,15,1
G3601190005500,2000,NY,1,2,New York,36,Westchester,119,,,,,0,005500,005500,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,3444188,123750,Census Tract 55,S,40892986,-73807526,,,,4892,112,3,153,0,13,60,165,4,1,0,0,45,38
G3601190005600,2000,NY,1,2,New York,36,Westchester,119,,,,,0,005600,005600,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,326277,175449,Census Tract 56,S,40884090,-73770333,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3601190005701,2000,NY,1,2,New York,36,Westchester,119,,,,,0,005701,005701,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1809595,554237,Census Tract 57.01,S,40892399,-73785744,,,,4449,664,6,258,0,18,111,476,36,3,4,1,217,56
G3601190005702,2000,NY,1,2,New York,36,Westchester,119,,,,,0,005702,005702,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,512834,23906,Census Tract 57.02,S,40899795,-73779712,,,,2005,508,1,95,2,107,69,284,34,0,1,0,182,30
G3601190005800,2000,NY,1,2,New York,36,Westchester,119,,,,,0,005800,005800,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,572565,0,Census Tract 58,S,40903585,-73785672,,,,1969,317,4,122,3,7,69,816,12,14,1,0,465,92
G3601190005901,2000,NY,1,2,New York,36,Westchester,119,,,,,0,005901,005901,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,451522,0,Census Tract 59.01,S,40907199,-73775943,,,,2036,533,9,182,2,13,90,809,55,17,1,0,370,92
